Lead ID,Vestigingsnaam,Organisatienaam,Bron organisatienaam,KVK-nummer,Domein,Website,Vestigingsplaats,Postcode,Adres,Aantal medewerkers,Medewerkersklasse,Bron medewerkers,Bronniveau medewerkers,Peildatum medewerkers,Actualiteit medewerkers,Meetniveau medewerkers,Eenheid medewerkers,Status handmatige beoordeling,Bronnen handmatige beoordeling,Segment,Doelgroepstatus,Algemeen e-mailadres,Telefoonnummer,Bron contactgegevens,Resultaat vergelijking acquisitielijst,Matchwijze acquisitielijst,Datum verzameld,Opmerkingen
L0011,Bouwbedrijf Van Oijen B.V. Boxmeer,Bouwbedrijf Van Oijen B.V.,https://www.oijen-bouw.nl/ en https://www.bouwgarant.nl/aannemers/boxmeer/bouwbedrijf-van-oijen-bv,16046049,oijen-bouw.nl,https://www.oijen-bouw.nl,Boxmeer,5831 AP,Kleine Broekstraat 7,20,Niet gevonden,https://www.oijen-bouw.nl/,A,Onbekend,Actueel/live,Organisatie,Werkzame personen,afgerond,https://www.oijen-bouw.nl/ en https://drimble.nl/bedrijf/boxmeer/000015501116/bouwbedrijf-van-oijen-bv.html en https://drimble.nl/bedrijf/gemeente/land-van-cuijk/15501116/bouwbedrijf-van-oijen-bv.html,nog te bepalen,nog niet te bepalen,algemeen@oijen-bouw.nl,0485 57 14 32,https://www.oijen-bouw.nl/contact,nog niet gecontroleerd,,15-09-2026,Handmatige beoordeling afgerond. De eigen website beschrijft een 20-koppig team en koppelt dit aan medewerkers/vakmensen van Bouwbedrijf Van Oijen B.V.; daarom is het aantal 20 vastgelegd als Werkzame personen. De onderneming treedt onder eigen naam naar buiten met een eigen website en contactstructuur. Er bestaat een holdingstructuur met MJE Beheer B.V. als moedermaatschappij. Op basis van de voorlopige HAHEBO-werkregel blokkeert een holdingstructuur de Organisatienaam niet wanneer de werkmaatschappij aantoonbaar als operationele onderneming naar buiten treedt en er geen duidelijke groepsbrede commerciële organisatie zichtbaar is. De precieze rol van MJE Beheer is niet met een registeruittreksel vastgesteld en blijft daarom als aandachtspunt genoteerd. Op hetzelfde adres staat daarnaast Metaalgieterij Kinheim B.V.; de relatie daarvan tot Bouwbedrijf Van Oijen is niet vastgesteld. Met 20 werkzame personen krijgt de lead Segment = nog te bepalen totdat HAHEBO de regionale afbakening heeft vastgesteld.
L0012,"Gemeente Land van Cuijk, gemeentehuis Boxmeer",Gemeente Land van Cuijk,https://www.gemeentelandvancuijk.nl,Niet gevonden,gemeentelandvancuijk.nl,https://www.gemeentelandvancuijk.nl,Boxmeer,5831 JX,Raadhuisplein 1,Ongeveer 800,Niet gevonden,eigen werken-bij/vacaturepagina van Gemeente Land van Cuijk,A,Niet gevonden,Actueel/live,Organisatie,Onbekend,niet nodig,,50+,nog niet te bepalen,gemeente@landvancuijk.nl,0485-854000,https://www.gemeentelandvancuijk.nl,nog niet gecontroleerd,,15-09-2026,"Organisatie = Gemeente Land van Cuijk; lead betreft het gemeentehuis/locatie Boxmeer. Personeelsbron (eigen werken-bij/vacaturepagina) noemt ongeveer 800 medewerkers op organisatieniveau, bronkwaliteit A; de bron benoemt dit aantal niet expliciet als headcount of FTE, daarom staat Eenheid medewerkers op Onbekend. Omdat circa 800 ruim boven de grens van 50 ligt, is Segment = 50+. Raadhuisplein 1 is als huidig adres gebruikt; een eerdere, verzwakte vermelding van Raadsstraat 1 is niet gebruikt. Het nummer 28523612 is niet als KVK-nummer ingevuld omdat dit niet als KVK-nummer is bevestigd. Acquisitielijst nog niet gecontroleerd."
L0013,SBO Palet Boxmeer,School voor Speciaal Basisonderwijs Palet,DUO vestigingen SBO/SO/VSO — data/duo/vestigingen_sbo_so_vso.csv,41081122,paletboxmeer.nl,https://www.paletboxmeer.nl,Boxmeer,5831 EW,Pastoor Kerstenstraat 38,18,Niet gevonden,DUO Onderwijspersoneel PO in aantal personen 2011-2025 — afgeleide compacte dataset data/duo/duo_po_brin_personen_2011_2025_compact.xlsx,B,01-10-2025,Expliciet gedateerd,Organisatie,Werkzame personen,niet nodig,,nog te bepalen,nog niet te bepalen,dir.palet@optimusonderwijs.nl,0485-571685,Optimus scholenoverzicht + SBO Palet schoolgids 2025-2026,nog niet gecontroleerd,,15-09-2026,"Onderwijsregel toegepast: Organisatienaam is vastgesteld op BRIN-niveau via de DUO-lookup. Officiële instelling: School voor Speciaal Basisonderwijs Palet, BRIN 20GB, vestigingscode 20GB00. Bevoegd gezag: OPTIMUS, bestuursnummer 48348. DUO PERSONEN 2025 = 18 op instellingsniveau, peildatum 1 oktober 2025; dit cijfer geldt op BRIN-/instellingsniveau. Personeelsdata komt uit de afgeleide compacte PO-dataset, traceerbaar naar het officiële DUO-bronbestand (zie data/duo/README.md). Segment = nog te bepalen. Het bestuursniveau van OPTIMUS is niet gebruikt voor segmentatie."
L0014,"Bol Adviseurs, locatie Boxmeer",Bol Adviseurs,https://www.boladviseurs.nl,16064022,boladviseurs.nl,https://www.boladviseurs.nl,Boxmeer,5831 CK,Spoorstraat 73,Meer dan 300,Niet gevonden,https://www.boladviseurs.nl/over-bol/medewerkers,A,Niet gevonden,Actueel/live,Organisatie,Onbekend,niet nodig,,50+,nog niet te bepalen,info@boladviseurs.nl,088 1211 300,https://www.boladviseurs.nl/boxmeer,nog niet gecontroleerd,,15-09-2026,"Bol Adviseurs is volgens de eigen disclaimer een collectieve naam voor meerdere juridische entiteiten. Voor deze Boxmeer-lead is KVK 16064022 van Bol Accountants B.V. gebruikt, vestigingsnummer 000017116937. STAK Bol Accountants is een eigendoms-/holdingstructuur en is niet als Organisatienaam gebruikt. Er is geen betrouwbare A- of B-bron met een bruikbaar medewerkersaantal gevonden; een eerder aangetroffen C-bron met 1 medewerker is niet gebruikt voor segmentatie. Telefoonnummer en e-mailadres zijn organisatiebrede contactgegevens; de officiële Boxmeer-locatiepagina bevestigt deze gegevens expliciet voor Spoorstraat 73. Bol International noemt een afwijkend generiek telefoonnummer en is daarom niet als primaire contactbron gebruikt. Acquisitielijst nog niet gecontroleerd. De eigen medewerkerspagina van Bol Adviseurs vermeldt actueel ""meer dan 300 professionals"". Dit cijfer heeft betrekking op Bol Adviseurs als organisatie en niet uitsluitend op locatie Boxmeer. De formulering is een persoonsaanduiding zonder expliciet fte-label; Eenheid medewerkers blijft daarom Onbekend. Omdat het betrouwbare organisatiecijfer ruim boven de grens van 50 ligt, is Segment vastgesteld op 50+."
L0015,Toolstation Boxmeer,Toolstation NL B.V.,https://www.toolstation.nl/content/terms,63449595,toolstation.nl,https://www.toolstation.nl/branches/boxmeer,Boxmeer,5831 AD,Sint Anthonisweg 53,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Niet gevonden,Actualiteit onduidelijk,Onbekend,Onbekend,afgerond,https://www.toolstation.nl/content/jobs en https://www.toolstation.nl/content/terms en https://toolstation.jobilla.com/ en https://toolstation.otys.website/,onbekend,nog niet te bepalen,info@toolstation.nl,+31 71 581 5050,Toolstation Boxmeer vestigingspagina + Toolstation algemene voorwaarden: https://www.toolstation.nl/branches/boxmeer en https://www.toolstation.nl/content/terms,nog niet gecontroleerd,,16-09-2026,"Toolstation NL B.V. is via de eigen algemene voorwaarden bevestigd als Nederlandse organisatie, KVK 63449595; Boxmeer is een vestiging van deze organisatie op Sint Anthonisweg 53, 5831 AD Boxmeer. Het vestigingsnummer van Boxmeer is niet gevonden; vestigingsnummer 000032364911 hoort bij Bleiswijk (hoofdvestiging) en is niet aan Boxmeer toegeschreven. Er is geen bruikbaar A- of B-medewerkerscijfer gevonden. Jobilla noemt ruim 1.000 medewerkers, maar deze bron is na handmatige beoordeling niet gebruikt: onvoldoende aantoonbare provenance als officieel Toolstation-kanaal, en de Jobilla-tekst spreekt over meer dan 100 vestigingen en een hoofdzetel in Houten, terwijl actuele eigen Toolstation-bronnen 94 Nederlandse vestigingen en Bleiswijk noemen — organisatorisch/geografisch niveau sluit dus niet betrouwbaar aan. Deze bron is beoordeeld als C. Het officiële recruitmentkanaal toolstation.otys.website is gecontroleerd, maar blokkeert geautomatiseerde toegang en leverde daardoor geen bruikbaar medewerkersaantal op. De eigen Toolstation jobs-pagina noemt 94 Nederlandse vestigingen en Bleiswijk, maar geen medewerkersaantal. Het medewerkersonderzoek voor deze lead is hiermee afgerond; Aantal medewerkers blijft Onbekend, Segment blijft onbekend. E-mail en telefoon zijn organisatiebrede contactgegevens en niet uniek voor Boxmeer. Acquisitielijst nog niet gecontroleerd."
L0016,Abiks B.V.,Abiks B.V.,https://abiks.nl/over-ons/,Niet gevonden,abiks.nl,https://www.abiks.nl,Wanroij,5446 XE,Hank 20,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Niet gevonden,Actualiteit onduidelijk,Onbekend,Onbekend,niet nodig,,onbekend,nog niet te bepalen,info@abiks.nl,085-0201336,"https://abiks.nl/privacybeleid/ voor adres; e-mailadres en telefoonnummer uit een externe vacaturepublicatie met Abiks-tekst, niet bevestigd op abiks.nl",nog niet gecontroleerd,,16-09-2026,"Eigen website bevestigt Hank 20 als vestigingsadres. Een externe leerbedrijvenbron noemt Hank 10; de actuele eigen bron is leidend, het afwijkende adres is genoteerd. KVK-nummer niet betrouwbaar gevonden. Mogelijke relatie met Aben B.V. van de oprichters is niet verder uitgewerkt. Medewerkersaantal niet gevonden. Let op: e-mailadres en telefoonnummer staan in een vacaturetekst op een extern platform en niet op de eigen site; het eigen privacybeleid noemt 06-83529858."
L0017,Holland Drilling B.V.,Holland Drilling B.V.,https://hollanddrilling.nl/contact/,67002706,hollanddrilling.nl,https://www.hollanddrilling.nl,Cuijk,5431 NN,Simon Homburgstraat 17,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Niet gevonden,Actualiteit onduidelijk,Onbekend,Onbekend,niet nodig,,onbekend,nog niet te bepalen,info@hollanddrilling.nl,+31 485 74 50 40,https://hollanddrilling.nl/contact/,nog niet gecontroleerd,,16-09-2026,"Eigen website bevestigt de vestiging. KVK 67002706 met vestigingsnummer 000035580305. Er zijn gerelateerde entiteiten zichtbaar: Holland Drilling Beheer, Holland Drilling Projects en BMG Nederland. Er is geen bruikbaar medewerkersaantal gevonden. Holland Drilling B.V. blijft voor deze lead als organisatie gebruikt. De eigen site beschrijft een moderne en ruime kantooromgeving met binnen- en buitenwerkers."
L0018,Huijskes VRT B.V.,Huijskes Verkeersregeltechniek B.V.,https://www.huijskesvrt.nl/contact/,50169858,huijskesvrt.nl,https://www.huijskesvrt.nl,Overloon,5825 CC,14 Oktoberplein 6,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Niet gevonden,Actualiteit onduidelijk,Onbekend,Onbekend,niet nodig,,onbekend,nog niet te bepalen,info@huijskesvrt.nl,+31 478 640021,"https://www.huijskesvrt.nl/contact/ voor adres en e-mailadres; telefoonnummer uit niveau-2-bedrijvengids, niet op de eigen contactpagina",nog niet gecontroleerd,,16-09-2026,"Eigen contactpagina bevestigt het bezoekadres en KVK 50169858. Huijskes VRT B.V. wordt als handelsnaam gebruikt; de juridische entiteit is Huijskes Verkeersregeltechniek B.V. De eigen site noemt ook Postbus 6, 5825 ZG Overloon, maar het bezoekadres is 14 Oktoberplein 6. Het telefoonnummer is extern bevestigd en staat niet op de eigen contactpagina. Geen bruikbaar medewerkersaantal gevonden. Er is ook een Huijskes VRT Beheer B.V. zichtbaar."
L0019,Jacobs & Smits Metaalbewerking B.V.,Jacobs & Smits Metaalbewerking B.V.,https://www.jacobsensmits.nl/contact-met-jacobs-smits/,17166075,jacobsensmits.nl,https://www.jacobsensmits.nl,Boxmeer,5831 AK,Lionstraat 18,15,Niet gevonden,https://www.jacobsensmits.nl/metaalbewerking-in-boxmeer/,A,Niet gevonden,Actueel/live,Organisatie,Werkzame personen,afgerond,https://www.jacobsensmits.nl/metaalbewerking-in-boxmeer/,nog te bepalen,nog niet te bepalen,info@jacobsensmits.nl,0485-575677,https://www.jacobsensmits.nl/contact-met-jacobs-smits/,nog niet gecontroleerd,,16-09-2026,"Eigen bron noemt exact een team van 15 vakbekwame medewerkers. De handmatige beoordeling heeft vastgesteld dat dit personen betreft en niet arbeidsjaren, waarmee de eenheid op werkzame personen staat. Het cijfer geldt voor de organisatie als geheel. Segment daarom nog te bepalen totdat de regio is vastgesteld. Makomar wordt op de eigen site genoemd voor aanvullende metaal- en kunststofbewerking; die relatie is niet verder onderzocht."
L0020,Kepser B.V.,Onbekend,https://www.kepser.nl/en/about-kepser en https://drimble.nl/bedrijf/cuijk/16261844/kepser-bv.html,16045039,kepser.nl,https://www.kepser.nl,Cuijk,5431 NN,Simon Homburgstraat 12,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Niet gevonden,Actualiteit onduidelijk,Onbekend,Onbekend,niet nodig,,onbekend,nog niet te bepalen,welkom@kepser.nl,0485 33 60 60,https://www.landvancuijk.nl/vermelding/kepser/ voor telefoonnummer en een afwijkend e-mailadres; welkom@kepser.nl komt uit een extern zakenblad en is niet op kepser.nl bevestigd,nog niet gecontroleerd,,16-09-2026,"Eigen website van Kepser B.V. bevestigd, met Simon Homburgstraat 12 en postbus 70, 5430 AB Cuijk. KVK 16045039. Op hetzelfde adres zijn ook Kepser Holding B.V. en Kepser Pro-Metaal B.V. zichtbaar, en er wordt een dochterbedrijf Venrooy genoemd. Daardoor is de canonieke organisatienaam volgens onze organisatieregel nog Onbekend. Een externe bron noemt circa 80 medewerkers, maar dat is niet gebruikt omdat er binnen deze ronde geen voldoende sterke personeelsbron is gevonden. Identiteit, adres en contactgegevens zijn wel voldoende onderbouwd voor opname."
L0021,Infrascoop B.V.,Onbekend,https://www.infrascoop.nl/over-infrascoop/ en https://www.ploegam.nl/dit-is-ploegam/historie,17198388,infrascoop.nl,https://www.infrascoop.nl,Cuijk,5431 NS,De Hork 25,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Niet gevonden,Actualiteit onduidelijk,Onbekend,Onbekend,afgerond,"https://www.infrascoop.nl/over-infrascoop/, https://www.infrascoop.nl/vacatures/, https://www.ploegam.nl/dit-is-ploegam/historie",onbekend,nog niet te bepalen,info@infrascoop.nl,0485-312477,https://www.infrascoop.nl/contact/,nog niet gecontroleerd,,17-09-2026,"Infrascoop maakt sinds 1 januari 2023 deel uit van de Ploegam Groep. Het bedrijf heeft een eigen handelsnaam, website, vestiging, directie en bedrijfsbureau, maar Ploegam is zelf een operationele onderneming en geen zuivere holding, en er zijn aanwijzingen voor groepsbrede processen en recruitment. Daardoor blijft de canonieke Organisatienaam volgens onze huidige regel Onbekend. Vestigingsnummer 000017858062. Geen bruikbaar medewerkersaantal gevonden. Handmatige beoordeling afgerond. Het eigen pand op bedrijventerrein De Beijerd en 't Riet heeft een duidelijke kantoororganisatie naast het project- en buitenwerk."
L0022,Cybox Internet & Communicatie,Cybox Internet & Communicatie,https://www.cybox.nl/contact/,16088598,cybox.nl,https://www.cybox.nl,Boxmeer,5831 CJ,Spoorstraat 55k,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Niet gevonden,Actualiteit onduidelijk,Onbekend,Onbekend,niet nodig,,onbekend,nog niet te bepalen,info@cybox.nl,0485 47 17 74,https://www.cybox.nl/contact/,nog niet gecontroleerd,,17-09-2026,"De eigen contactpagina bevestigt Mediaplein, Spoorstraat 55k, 5831 CJ Boxmeer. Een eerder gevonden niveau-2-bron noemde Spoorstraat 55f; de actuele eigen bron is leidend. De eigen site bevestigt KvK 16088598. Er bestaat daarnaast support@cybox.nl als technisch supportadres, maar dat wordt niet als algemeen e-mailadres gebruikt. Geen bruikbaar medewerkersaantal gevonden."
L0023,EEF Makelaars,EEF Makelaars,https://www.eefmakelaars.nl/contact,68298684,eefmakelaars.nl,https://www.eefmakelaars.nl,Boxmeer,5831 EJ,Burgemeester Verkuijlstraat 55,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Niet gevonden,Actualiteit onduidelijk,Onbekend,Onbekend,niet nodig,,onbekend,nog niet te bepalen,info@eefmakelaars.nl,0485 745 758,https://www.eefmakelaars.nl/contact,nog niet gecontroleerd,,17-09-2026,"De eigen site bevestigt adres en contactgegevens, maar noemt geen juridische entiteit en geen KvK-nummer. KvK 68298684 is via een niveau-2-bron gevonden en niet op de eigen site bevestigd. EEF Makelaars blijft daarom als commerciële Organisatienaam gebruikt. Geen bruikbaar medewerkersaantal gevonden. Het kantoor heeft klantontvangst als kernfunctie."
